time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,Activity,Activity Confidence,Activity Start,Steps,Last Step Date,State
2014-11-07 12:59:05.069,1,0.5,37.77722,-122.404,6.213593,0,330.8203,4,5,1415393944,0.05000305,-0.848877,-0.4689636,-28.70288,17.1054,-0.6781616,88.42773,74.62227,25,0.03830904,0.05580015,0.02020274,-0.5893022,0.1156648,1.040758,-0.02059419,0.02455393,-7.186387e-05,-0.01516362,0.01825925,0.01723394,0.0.0.0,10.62.21.216,1,automotive,2,2014-11-07 12:59:01.051,0,2014-11-07 12:53:30.730,0
2014-11-07 12:59:05.569,2,1,37.77722,-122.404,5.928375,0,331.1719,4,5,1415393945,0.04849243,-0.8629761,-0.4541779,-28.9082,16.0858,1.436951,90.43451,76.62904,25,-0.01005716,0.1146757,0.05149169,-0.5886102,0.07556281,1.029161,-0.0331042,0.05708505,0.02729695,-0.001900626,0.01250632,0.04255515,0.0.0.0,10.62.21.216,1,automotive,2,2014-11-07 12:59:01.051,0,2014-11-07 12:53:30.730,0
2014-11-07 12:59:06.068,3,1.5,37.77722,-122.404,5.928375,0,331.1719,4,5,1415393945,0.04994202,-0.8652039,-0.4914551,-28.46333,15.84788,0.08197021,88.62885,74.82339,25,-0.06420828,0.07373734,-0.005526858,-0.6025751,0.09469132,1.035063,-0.1046683,-0.006104676,-0.02624903,-0.005662537,0.01089528,0.03426255,0.0.0.0,10.62.21.216,1,automotive,2,2014-11-07 12:59:01.051,0,2014-11-07 12:53:30.730,0
2014-11-07 12:59:06.571,4,2,37.77722,-122.404,5.820526,0,333.9844,4,5,1415393946,0.05371094,-0.8658447,-0.5066376,-28.56599,16.35767,-0.0171814,90.59891,76.79345,25,-0.01962377,0.07094049,-0.01292778,-0.6079178,0.1035091,1.032864,-0.07616916,0.03722771,-0.03078954,-0.0002813063,0.000936201,0.005727886,0.0.0.0,10.62.21.216,1,automotive,2,2014-11-07 12:59:01.051,0,2014-11-07 12:53:30.730,0
2014-11-07 12:59:07.068,5,2.5,37.77722,-122.404,5.820526,0,333.9844,4,5,1415393946,0.05525208,-0.8578949,-0.5526581,-29.42151,16.05181,0.2803345,90.43993,76.63446,25,0.02261184,0.07304758,-0.0399887,-0.6264373,0.1380011,1.027899,-0.05761892,0.04092379,-0.04914498,-0.009925918,-0.01297098,-0.02328096,0.0.0.0,10.62.21.216,1,automotive,2,2014-11-07 12:59:01.051,0,2014-11-07 12:53:30.730,0
2014-11-07 12:59:07.568,6,3,37.77722,-122.404,5.795441,0,333.9844,4,5,1415393947,0.09487915,-0.2776184,-0.7415314,-27.67625,27.30132,-1.537384,66.71777,52.91231,25,-2.365018,1.055188,3.990978,0.05349696,-0.1668164,0.6890544,-1.515471,0.9773183,5.070372,0.4029255,0.3441206,0.008203428,0.0.0.0,10.62.21.216,1,automotive,2,2014-11-07 12:59:01.051,0,2014-11-07 12:53:30.730,0
2014-11-07 12:59:08.069,7,3.5,37.77722,-122.404,5.795441,0,333.9844,4,5,1415393947,-0.2399139,0.5901489,-1.270874,27.76151,50.00428,14.52441,349.7865,335.981,25,1.813848,-0.6614667,-0.5446721,1.197269,-0.2473439,0.08963498,1.926753,-1.652684,-0.4216242,-0.227955,0.6946023,-0.7960297,0.0.0.0,10.62.21.216,1,automotive,2,2014-11-07 12:59:01.051,0,2014-11-07 12:53:30.730,0
2014-11-07 12:59:08.571,8,4,37.7772,-122.404,5.685425,0.49,308.6719,4,5,1415393948,0.3565521,0.01669312,-0.9801178,-12.31109,54.32056,-3.288879,42.74032,28.93486,26,-2.975426,-0.8401586,-1.054872,0.2512693,0.1393581,0.3254434,-2.5769,-0.857268,-0.6830688,0.4001374,0.3061943,-0.4317481,0.0.0.0,10.62.21.216,1,automotive,2,2014-11-07 12:59:01.051,0,2014-11-07 12:53:30.730,0
2014-11-07 12:59:09.068,9,4.5,37.7772,-122.404,5.685425,0.49,308.6719,4,5,1415393948,-0.02191162,-0.1661682,-0.910965,-12.99551,56.2238,8.542603,45.73591,31.93044,26,0.2163041,-0.07711023,0.02031513,0.2268307,-0.03876789,0.1947011,0.1766908,-0.04207652,0.01342935,-0.0005788698,0.006980383,0.006781321,0.0.0.0,10.62.21.216,1,automotive,2,2014-11-07 12:59:08.934,0,2014-11-07 12:53:30.730,0
2014-11-07 12:59:09.572,10,5,37.77719,-122.404,5.646362,0.24,336.4453,4,5,1415393949,-0.07579041,-0.2384491,-1.006775,-12.99551,56.6996,7.286743,45.71194,31.90648,26,-0.03938442,0.09344047,-0.01396695,0.2277769,-0.04659901,0.1964047,-0.09032644,-0.009506241,-0.02820602,0.003618102,-0.004928805,-0.04455163,0.0.0.0,10.62.21.216,5,automotive,2,2014-11-07 12:59:08.934,0,2014-11-07 12:53:30.730,0
2014-11-07 12:59:10.070,11,5.5,37.77719,-122.404,5.646362,0.24,336.4453,4,5,1415393949,0.02886963,-0.1973572,-1.038513,-12.58486,57.65123,7.286804,45.74202,31.93656,26,-0.02346085,0.07229763,0.008016914,0.2283783,-0.04717685,0.1946152,0.05294687,0.01096058,0.009024391,-0.02651533,-0.02255334,0.003178118,0.0.0.0,10.62.21.216,5,automotive,2,2014-11-07 12:59:08.934,0,2014-11-07 12:53:30.730,0
2014-11-07 12:59:10.574,12,6,37.77719,-122.4039,5.520111,0.22,339.9609,4,5,1415393950,-0.0433197,-0.1920013,-1.0495,-12.55063,56.39373,7.386047,45.55404,31.74858,26,0.07167313,0.02201902,0.01991512,0.2287092,-0.04604926,0.18852,0.06399821,-0.04003128,0.001270115,0.01157178,0.003002858,0.03772941,0.0.0.0,10.62.21.216,5,automotive,1,2014-11-07 12:59:10.510,0,2014-11-07 12:53:30.730,0
