time;timestamp;recordtime;lat;long;alt;speed;course;verticalAccuracy;horizontalAccuracy;locTimeStamp;accelerationX;accelerationY;accelerationZ;HeadingX;HeadingY;HeadingZ;TrueHeading;MagneticHeading;HeadingAccuracy;RotationX;RotationY;RotationZ;motionYaw;motionRoll;motionPitch;motionRotationRateX;motionRotationRateY;motionRotationRateZ;motionUserAccelerationX;motionUserAccelerationY;motionUserAccelerationZ;en0;pdp_ip0;DeviceOrientation;State
2014-10-24 08:29:32.459;1;1;37.4239;-122.1956;55.62253;1.42;138.1089;3;10;1414164572;0.1294708;-0.6466064;-0.6764832;-53.57185;-18.49966;92.62998;172.2818;158.5827;30;0.2194389;-0.3680502;-0.01980087;-0.8392243;0.3237029;0.7907065;0.1847855;-0.5044346;-0.01697373;-0.03368598;0.1101576;-0.1159461;0.0.0.0;10.111.107.227;1;0
2014-10-24 08:29:33.458;2;2;37.42389;-122.1956;55.94308;1.65;138.1089;3;10;1414164573;0.4236145;-0.591156;-0.8736877;-39.99028;-30.9621;93.90937;190.9506;177.2515;30;0.4454805;0.4410858;0.9399289;-1.571071;0.5692682;0.7482526;0.3133311;0.1680277;0.81859;0.008607511;0.2048801;-0.2596219;0.0.0.0;10.111.107.227;1;0
2014-10-24 08:29:34.458;3;3;37.42388;-122.1956;56.15292;1.96;138.1089;3;10;1414164574;-0.4139252;-0.8615417;-0.2460022;-60.22027;-9.28389;89.95502;148.7996;135.1005;30;0.03425518;-0.4077497;-0.4623016;0.2387973;-0.8993189;1.318241;-0.01555021;-0.3540936;-0.1095589;-0.2117172;0.1095581;-0.08208805;0.0.0.0;10.111.107.227;1;0
2014-10-24 08:29:35.459;4;4;37.42386;-122.1956;56.48026;1.92;138.1089;3;10;1414164575;-0.02931213;-0.9986725;-0.04853821;-39.72233;-17.12997;83.00996;167.4031;153.704;30;-0.08006608;-0.2598965;-0.257901;-1.286309;0.4234299;1.424493;-0.09884952;-0.2279581;-0.4166348;-0.1343631;0.009961911;0.128482;0.0.0.0;10.111.107.227;1;0
2014-10-24 08:29:36.460;5;5;37.42385;-122.1956;56.32541;2.39;172.2656;3;10;1414164576;0.09805298;-0.9984131;-0.1723175;-24.06417;-19.48042;82.16261;179.0019;165.3028;25;0.3071634;-0.5965055;-0.5307398;-1.732961;0.5308313;1.270468;0.306153;-0.6533405;-0.6685858;-0.1539316;-0.03633768;0.04798491;0.0.0.0;10.111.107.227;1;0
2014-10-24 08:29:37.462;6;6;37.42382;-122.1956;56.30276;3.09;187.3828;3;10;1414164577;-0.2537537;-1.013275;-0.03466797;-15.50661;-22.37201;84.37241;183.1093;169.4102;25;0.3142434;-0.3385301;0.4307735;-1.785747;0.3004718;1.341601;0.4727983;-0.274891;0.651751;-0.2957278;-0.02277817;0.1584513;0.0.0.0;10.111.107.227;1;0
2014-10-24 08:29:38.458;7;7;37.42366;-122.1957;56.92276;6.71;229.514;3;10;1414164578;-0.01860046;-0.9369965;-0.2276917;-2.77913;-31.80763;85.90096;197.9979;184.2988;25;-0.2294723;-0.1050351;0.2800159;-2.498038;0.7353163;1.177429;-0.2363454;-0.0667555;0.325154;-0.2195593;-0.0004181648;-0.01311555;0.0.0.0;10.111.107.227;1;0
2014-10-24 08:29:39.458;8;8;37.42363;-122.1957;57.66837;7.19;229.514;3;10;1414164579;0.05244446;-0.8134003;-0.2962952;6.364563;-28.25659;77.52702;211.2964;197.5973;25;0.4022918;-0.5176716;-0.003856524;-2.728228;0.6428522;0.9236124;0.3608525;-0.6309475;0.3223526;-0.3311788;0.0320683;0.07754388;0.0.0.0;10.111.107.227;1;0
2014-10-24 08:29:40.458;9;9;37.42357;-122.1958;57.73679;8.27;230.9315;3;10;1414164580;0.1222992;-0.942749;-0.4055634;1.926691;-27.73236;77.14488;200.4996;186.8005;25;-0.1395608;-0.02495062;-0.325739;-2.409841;0.3162686;1.112211;-0.1061616;0.03036927;-0.3526224;-0.05971105;-0.0177339;0.05512384;0.0.0.0;10.111.107.227;1;0
2014-10-24 08:29:41.458;10;10;37.42352;-122.1959;58.22806;7.99;230.9315;3;10;1414164581;0.0383606;-0.8768158;-0.5700684;1.474528;-27.88449;75.59971;200.1708;186.4717;25;0.0305691;-0.006673083;0.06466901;-2.266984;0.2479172;1.027988;-0.0003970942;0.02968989;0.08219108;-0.0390139;-0.04653989;-0.05933969;0.0.0.0;10.111.107.227;1;0
