time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,State
2014-11-19 12:41:32.190,1,1,37.42644,-122.1444,12.84006,5.08,125.5078,3,10,1416429692,-0.04115295,-0.668335,-0.7683258,-9.01236,-13.05377,-1.050339,144.4089,130.7252,26,-0.02974245,-0.1681025,0.1855118,0.7643041,-0.03323919,0.7849535,-0.1368465,-0.2066748,0.1962871,-0.1017801,0.03987639,-0.0382394,0.0.0.0,10.181.213.137,1,0
2014-11-19 12:41:33.190,2,2,37.42639,-122.1444,12.75998,5.23,122.3438,3,10,1416429693,-0.1265411,-0.6781006,-0.7678375,-9.472687,-11.70203,-1.868698,142.9093,129.2257,26,-0.1367728,-0.03078321,-0.146745,0.8052166,-0.04692265,0.6519677,-0.06391568,0.006258494,-0.002265586,-0.08628095,-0.01660034,-0.01209006,0.0.0.0,10.181.213.137,1,0
2014-11-19 12:41:34.189,3,3,37.42638,-122.1443,12.59299,5.44,123.75,3,10,1416429694,0.08995056,-0.4502106,-0.6091766,-8.637115,-12.9511,-5.39241,150.8184,137.1347,26,2.115685,0.5296958,0.05022082,0.6219596,0.06741233,0.6349164,2.069837,0.2749652,-0.1529217,-0.03305481,0.1225902,0.1545957,0.0.0.0,10.181.213.137,5,0
2014-11-19 12:41:35.198,4,4,37.42626,-122.1443,12.80603,5.11,119.8828,6,10,1416429695,0.4685822,-0.6983032,-0.3602142,-4.476471,-12.95109,-10.33571,124.3334,110.6498,26,-0.270085,-0.03273771,0.8870814,0.7924745,0.6243723,0.9392512,0.07948955,-0.1953337,0.7437174,0.1661703,0.07329058,0.09019411,0.0.0.0,10.181.213.137,1,0
2014-11-19 12:41:36.190,5,5,37.42627,-122.1442,12.66568,5.2,118.4766,3,10,1416429696,-0.01223755,-0.6102295,-0.5915833,-6.966125,-8.878799,-10.1019,120.7248,107.0412,26,-0.1934454,-0.3545373,0.6129721,1.050915,0.305294,0.8184965,-0.1403217,-0.2962887,0.7066035,-0.1923569,0.1139389,0.06413659,0.0.0.0,10.181.213.137,1,0
2014-11-19 12:41:37.111,6,6,37.42627,-122.1442,12.66568,5.2,118.4766,3,10,1416429696,0.210434,-0.6105347,-0.6197205,-15.12363,-7.390137,-8.498932,103.0704,89.38673,25,0.3841565,-0.05120327,-0.1154896,1.082791,0.2898815,0.8245814,0.4191256,0.1365204,-0.138054,0.01490814,0.1019547,0.008389757,0.0.0.0,10.181.213.137,1,0
2014-11-19 12:41:38.111,7,7,37.42619,-122.1441,12.70355,6.03,122.3438,3,10,1416429698,0.01968384,-0.6438141,-0.9664612,-24.65485,-2.890152,-6.778778,106.3652,92.68153,25,0.02526701,-0.02569658,0.001872469,0.9192588,0.2038547,0.6778233,-0.1031567,-0.03246984,0.1626592,-0.09854993,0.006691908,-0.1409829,0.0.0.0,10.181.213.137,1,0
2014-11-19 12:41:39.111,8,8,37.42617,-122.144,13.16724,5.7,124.4531,3,10,1416429699,0.3216858,-0.4348907,-0.8424835,-21.27887,-7.817886,-10.85358,113.1234,99.43978,25,0.4323815,1.892316,0.1458424,0.8017639,0.3796619,0.5426897,0.414908,2.406328,0.0634102,0.03727074,0.0876844,-0.0438742,0.0.0.0,10.181.213.137,5,0
2014-11-19 12:41:40.110,9,9,37.42619,-122.144,13.0155,5.69,125.8204,3,10,1416429700,0.3865967,-0.2955627,-0.9620514,-14.578,-2.599274,-13.74274,99.60805,85.92441,25,-0.3243416,-0.6257609,0.06044763,0.8600039,0.2444702,0.505374,-0.6493561,-0.58815,-0.7040151,0.2127293,0.08298116,-0.1629867,0.0.0.0,10.181.213.137,5,0
2014-11-19 12:41:41.110,10,10,37.42616,-122.1439,13.06845,5.2,125.8204,3,10,1416429701,0.1622314,-0.3078003,-0.8452911,-18.82355,-0.3236313,-14.39409,92.08061,78.39697,25,0.2709111,0.02622814,0.1019844,0.8195431,0.1851281,0.3774287,0.3367117,0.0407543,0.113369,0.0964158,0.08871575,-0.03953167,0.0.0.0,10.181.213.137,5,0
