time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,State
2014-11-19 11:05:26.413,1,1,37.43229,-122.1824,33.09259,2,350.8594,3,10,1416423926,0.239975,-0.5918274,-0.8425598,27.61539,19.31142,-19.50999,331.1078,317.4174,25,0.1936467,-0.756142,0.2477984,-2.414781,0.1444906,0.659707,0.2650771,-0.6459467,0.1501947,0.1261994,0.02105793,-0.06062203,0.0.0.0,10.181.213.137,5,0
2014-11-19 11:05:27.413,2,2,37.43226,-122.1823,33.38104,1.72,356.4844,3,10,1416423927,-0.1038208,-0.7870483,-0.6239471,24.32864,12.2116,-20.22772,327.4713,313.7809,25,0.1681951,-0.02716238,-0.1810822,-2.499682,-0.005413042,0.7810702,0.16049,-0.04213202,-0.1028443,-0.09997669,-0.08300854,0.08620297,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:28.414,3,3,37.4323,-122.1824,33.44226,2.3,30.9375,3,30,1416423928,0.001281738,-0.6126556,-0.5115356,15.31992,12.98148,-19.00923,341.9511,328.2608,25,0.263638,-0.3177255,-0.2031393,-2.991105,0.1480091,0.810439,0.2827777,-0.1617357,-0.1534564,-0.007257359,0.1396289,0.1166582,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:29.414,4,4,37.43235,-122.1823,33.54465,3.43,45.70312,3,10,1416423929,-0.05632019,-0.6862793,-0.6882477,9.802399,10.96273,-16.53883,346.7466,333.0562,25,-0.03291188,-0.2067588,-0.06485996,3.001581,0.04038236,0.7877731,-0.02795324,-0.1910372,-0.05187014,-0.09369507,0.01719475,-0.02220041,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:30.414,5,5,37.43239,-122.1822,32.96768,4.11,55.54688,3,10,1416423930,0.06245422,-0.6515961,-0.7323151,7.435303,9.987576,-14.85292,352.2049,338.5145,25,-0.3331228,-0.3081309,-0.1290347,2.81279,0.08258969,0.7617779,-0.2175575,-0.1610452,-0.1128249,-0.002153921,-0.0115427,0.07558998,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:31.413,6,6,37.4324,-122.182,32.94028,5.05,61.875,3,30,1416423931,0.1034241,-0.5677185,-0.7718201,8.882812,12.8104,-14.8362,353.4516,339.7612,25,0.3703938,0.1906959,0.03021383,2.771278,0.1883296,0.6281567,0.485123,0.05982991,0.1218811,-0.04805655,0.01993578,0.02298561,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:32.413,7,7,37.43252,-122.1819,32.93555,6.13,66.44531,3,10,1416423932,0.02575684,-0.5949249,-0.5924835,8.269684,8.362324,-14.63589,349.0527,335.3623,25,0.1501586,-0.01842881,0.02920343,2.764408,0.05393421,0.7952293,0.1456998,0.04047768,0.003068828,0.03112074,0.1084333,0.05396146,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:33.414,8,8,37.43255,-122.1819,31.93542,6.47,68.90625,3,10,1416423933,-0.05328369,-0.7636261,-0.7937927,8.439972,7.849091,-14.63591,347.3998,333.7094,25,-0.2355009,-0.2863654,0.1794078,2.774332,0.07341499,0.7941824,-0.1878266,-0.1797603,0.2190312,-0.06800959,-0.06037558,-0.07070354,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:34.413,9,9,37.43246,-122.1818,32.12463,7.37,68.90625,3,10,1416423934,0.00819397,-0.7255249,-0.7613068,7.639526,7.968861,-14.98643,350.8676,337.1772,25,-0.1233323,0.4320585,0.1421643,2.733265,0.06898428,0.7531059,-0.07936633,0.440625,0.1798321,-0.04209486,-0.04161689,-0.03347377,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:35.414,10,10,37.43264,-122.1817,32.69418,7.96,68.20312,3,10,1416423935,0.1667023,-0.5754852,-0.6934967,8.542023,7.541161,-14.43564,348.758,335.0676,25,-0.003676228,0.1407055,0.001991246,2.715206,0.1282904,0.7327283,-0.01173466,0.1581681,-0.04858322,0.05058731,0.1370093,0.03254673,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:36.413,11,11,37.43264,-122.1816,32.49042,8.51,71.36719,3,10,1416423936,0.04623413,-0.5871735,-0.7656555,9.325439,6.343605,-13.7012,343.7961,330.1057,25,-0.1448757,-0.3918711,0.2588603,2.659176,0.143255,0.7363877,-0.1038304,-0.3144767,0.2324235,-0.0016337,0.0803531,-0.007977111,0.0.0.0,10.181.213.137,1,0
2014-11-19 11:05:37.413,12,12,37.43261,-122.1815,32.03445,8.48,77.24786,3,5,1416423937,-0.04429626,-0.6770325,-0.6575165,8.661255,5.744827,-13.51753,343.2146,329.5243,25,0.03263118,-0.3108191,-0.2153933,2.64939,0.09354819,0.7210178,0.2820338,0.01516676,-0.1599478,-0.1639301,0.02417847,0.1105818,0.0.0.0,10.181.213.137,1,0
