time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,Activity,Activity Confidence,Activity Start,Steps,Last Step Date,State
2014-11-07 18:35:08.291,1,0.5,37.78683,-122.4112,28.22754,0,289.3359,3,30,1415414107,0.06118774,-0.4964447,-0.880127,-20.76885,35.14828,-16.14929,42.85113,29.04265,20,0.320929,0.1582157,-0.04162308,-0.06985714,0.04610599,0.4844245,0.4100965,0.1850376,-0.1620767,0.01388552,-0.02436737,-0.0001983697,0.0.0.0,10.62.21.216,5,unknown,2,2014-11-07 18:34:57.675,0,2014-11-07 18:29:52.817,0
2014-11-07 18:35:08.793,2,1,37.78683,-122.4112,28.22754,0,289.3359,3,30,1415414107,0.02153015,-0.5318298,-0.860611,-20.32398,35.18227,-19.02457,42.16839,28.35991,20,0.02662948,-0.007215036,0.09599311,-0.07120156,0.04220359,0.5188494,-0.01674374,-0.06878265,0.06373647,-0.008470584,-0.03210328,0.00789109,0.0.0.0,10.62.21.216,1,unknown,2,2014-11-07 18:34:57.675,0,2014-11-07 18:29:52.817,0
2014-11-07 18:35:09.288,3,1.5,37.78683,-122.4112,28.64868,0,289.3359,3,30,1415414108,-0.03968811,-0.5426483,-0.9340515,-19.57112,35.18229,-17.43829,41.5824,27.77391,20,0.1297945,-0.03096164,0.2177211,-0.01296329,-0.01834685,0.5240607,-0.04566683,0.05875688,0.1978703,-0.01989815,-0.05381447,-0.0424782,0.0.0.0,10.62.21.216,1,unknown,2,2014-11-07 18:34:57.675,0,2014-11-07 18:29:52.817,0
2014-11-07 18:35:09.787,4,2,37.78683,-122.4112,28.64868,0,289.3359,3,30,1415414108,-0.09764099,-0.6000824,-0.796875,-19.91333,34.3666,-18.16534,40.39754,26.58906,20,0.03948296,0.01227771,0.02105229,-0.003157659,-0.05768245,0.5895353,0.02399494,-0.02602509,-0.003201848,-0.03751494,-0.04155936,0.0265788,0.0.0.0,10.62.21.216,1,unknown,2,2014-11-07 18:34:57.675,0,2014-11-07 18:29:52.817,0
2014-11-07 18:35:10.282,5,2.5,37.78683,-122.4112,28.90427,0,289.3359,3,10,1415414109,-0.1082764,-0.6269836,-0.7758484,-20.08443,33.92477,-19.45425,40.24833,26.43985,20,0.1074926,0.008149273,0.02719141,0.007917296,-0.08915001,0.6467824,0.04896325,-0.04623391,-0.005736359,-0.02643849,-0.02422451,0.01197508,0.0.0.0,10.62.21.216,1,unknown,2,2014-11-07 18:34:57.675,0,2014-11-07 18:29:52.817,0
2014-11-07 18:35:10.725,6,3,37.78683,-122.4112,28.90427,0,289.3359,3,10,1415414109,-0.09030151,-0.6778412,-0.7422485,-19.02359,32.73524,-20.21439,40.76735,26.95887,20,-0.02772883,0.02293514,0.08885477,0.007384623,-0.1094294,0.7178983,-0.07331789,0.001874575,0.04912925,-0.006152727,-0.02925435,0.01412664,0.0.0.0,10.62.21.216,1,unknown,2,2014-11-07 18:34:57.675,0,2014-11-07 18:29:52.817,0
2014-11-07 18:35:11.291,7,3.5,37.78691,-122.4113,28.81656,0.59,289.3359,3,10,1415414110,-0.03845215,-0.6478882,-0.7464294,-21.31638,32.97316,-19.05774,39.83253,26.02405,20,0.03606932,0.09920781,-0.008970326,0.001705752,-0.1100231,0.701913,0.03763341,0.03670125,-0.07613516,0.03620725,0.01691074,0.000843087,0.0.0.0,10.62.21.216,1,unknown,2,2014-11-07 18:34:57.675,0,2014-11-07 18:29:52.817,0
2014-11-07 18:35:11.786,8,4,37.78691,-122.4113,28.81656,0.59,289.3359,3,10,1415414110,-0.02072144,-0.5892029,-0.764801,-20.90573,34.40059,-18.72714,40.65744,26.84896,20,0.04724235,0.1165357,-0.01127796,0.006591413,-0.1194112,0.6631224,0.08490657,0.1086018,-0.08392129,0.0665071,0.02663702,0.01486872,0.0.0.0,10.62.21.216,1,unknown,2,2014-11-07 18:34:57.675,0,2014-11-07 18:29:52.817,0
2014-11-07 18:35:12.291,9,4.5,37.78698,-122.4111,29.15714,1.82,254.8828,3,10,1415414112,-0.1276093,-0.6048737,-0.8066254,-21.28216,34.29862,-19.02463,41.28482,27.47633,20,0.184229,0.03752341,0.02993287,-0.004798493,-0.1047415,0.6524779,0.005804958,-0.1215749,0.0346587,0.006916983,-0.01012194,-0.03348802,0.0.0.0,10.62.21.216,1,unknown,2,2014-11-07 18:34:57.675,0,2014-11-07 18:29:52.817,0
2014-11-07 18:35:12.795,10,5,37.78698,-122.4112,28.91025,2.82,254.1797,3,10,1415414112,-0.0620575,-0.591568,-0.826767,-21.07683,35.86198,-19.95001,40.81383,27.00534,20,-0.05499002,0.03806882,0.0988315,-0.01961513,-0.07842632,0.6607233,-0.1551195,-0.009596709,0.09484731,0.0005328626,0.008616078,-0.01929008,0.0.0.0,10.62.21.216,1,unknown,2,2014-11-07 18:34:57.675,0,2014-11-07 18:29:52.817,0
2014-11-07 18:35:13.282,11,5.5,37.78693,-122.4113,28.50302,3.3,255.9375,3,10,1415414113,0.02038574,-0.552063,-0.8167572,-22.75366,35.5561,-19.58655,42.25392,28.44544,20,-0.05843561,0.08270633,0.06474331,-0.03845226,-0.06174227,0.6262413,-0.09506854,0.03433416,-0.03409614,0.07286698,0.04424857,-0.006569457,0.0.0.0,10.62.21.216,1,unknown,2,2014-11-07 18:34:57.675,0,2014-11-07 18:29:52.817,0
2014-11-07 18:35:13.786,12,6,37.78693,-122.4113,28.50302,3.3,255.9375,3,10,1415414113,-0.1061859,-0.4240265,-0.8761749,-24.2936,37.01752,-17.50443,43.48824,29.67976,20,-0.001282046,3.96811e-05,0.007388408,-0.0248807,-0.0761734,0.5536557,-0.2388293,-0.2049809,0.1696233,-0.02076393,0.07780223,-0.04152223,0.0.0.0,10.62.21.216,1,unknown,2,2014-11-07 18:34:57.675,0,2014-11-07 18:29:52.817,0
2014-11-07 18:35:14.287,13,6.5,37.78692,-122.4113,28.09476,3.75,259.4531,3,10,1415414114,0.08305359,-0.5658112,-0.7786102,-25.08067,34.80843,-20.51196,45.94536,32.13688,20,0.3685847,0.3117933,-0.1129143,-0.1430071,0.04583199,0.5976534,0.3778696,0.1897306,-0.2540518,0.02325257,3.635023e-05,-0.007461703,0.0.0.0,10.62.21.216,1,unknown,2,2014-11-07 18:34:57.675,0,2014-11-07 18:29:52.817,0
2014-11-07 18:35:14.794,14,7,37.78692,-122.4113,28.09476,3.75,259.4531,3,10,1415414114,0.00819397,-0.4657593,-0.8902588,-24.97801,37.69728,-18.76041,44.26147,30.45299,20,0.4283684,0.09458642,-0.2256315,-0.1047511,-0.00521992,0.5317975,0.1703702,-0.07455286,-0.1405673,0.006848866,0.02690458,-0.03412611,0.0.0.0,10.62.21.216,1,unknown,2,2014-11-07 18:34:57.675,0,2014-11-07 18:29:52.817,0
2014-11-07 18:35:15.292,15,7.5,37.78692,-122.4113,28.09476,3.75,259.4531,3,10,1415414114,-0.06968689,-0.5378113,-0.9549713,-27.23658,38.10513,-17.76898,46.20603,32.39755,20,0.08029324,-0.03898975,0.01322473,-0.1095531,-0.01631926,0.534297,-0.07575335,-0.05352406,0.05534961,-0.04929506,-0.05576629,-0.06117966,0.0.0.0,10.62.21.216,1,unknown,0,2014-11-07 18:35:15.326,0,2014-11-07 18:29:52.817,0
2014-11-07 18:35:15.788,16,8,37.78689,-122.4113,28.09079,3.87,257.6953,3,10,1415414115,0.05377197,-0.5447998,-0.8234711,-30.45334,39.73647,-19.15701,48.67491,34.86643,20,-0.2208016,-0.1379848,0.2659427,-0.1799897,0.04551113,0.5685672,-0.1720156,-0.211346,0.2202715,0.03252404,-0.05401254,-0.04075234,0.0.0.0,10.62.21.216,1,unknown,0,2014-11-07 18:35:15.326,0,2014-11-07 18:29:52.817,0
2014-11-07 18:35:16.267,17,8.5,37.78689,-122.4113,28.09079,3.87,257.6953,3,10,1415414115,-0.001953125,-0.5339203,-0.9256439,-30.04269,43.81485,-21.80096,45.47803,31.66954,20,0.3223937,0.03769065,-0.309895,-0.1580221,0.01653715,0.5510269,0.1806483,0.01030388,-0.3478138,-0.02559392,0.006258932,-0.04380482,0.0.0.0,10.62.21.216,5,unknown,0,2014-11-07 18:35:15.326,0,2014-11-07 18:29:52.817,0
2014-11-07 18:35:16.794,18,9,37.78687,-122.4114,27.81323,4.14,258.0469,3,5,1415414116,0.08551025,-0.6462402,-0.7889557,-29.66627,40.04235,-26.98956,46.63865,32.83017,20,-0.1555222,0.2720195,-0.002579005,-0.256405,0.06195672,0.6029094,-0.1528599,0.2743527,-0.147227,0.003717573,-0.07047087,0.1118733,0.0.0.0,10.62.21.216,1,unknown,0,2014-11-07 18:35:15.326,0,2014-11-07 18:29:52.817,0
2014-11-07 18:35:17.303,19,9.5,37.78687,-122.4114,27.81323,4.14,258.0469,3,5,1415414116,-0.1191711,-0.4326172,-0.9043427,-30.62445,39.83842,-20.90857,46.56873,32.76025,20,0.2125176,0.3475944,-0.6901691,-0.1544463,-0.09782431,0.4643024,-0.03065791,0.09528923,-0.546485,-0.08288317,0.05757087,0.01168551,0.0.0.0,10.62.21.216,1,unknown,0,2014-11-07 18:35:15.326,0,2014-11-07 18:29:52.817,0
2014-11-07 18:35:17.787,20,10,37.78684,-122.4114,27.74643,4.63,256.9922,3,5,1415414117,-0.06968689,-0.4146118,-0.9171143,-35.27848,39.02275,-16.28168,51.79045,37.98197,20,0.1594845,0.2512354,-0.3314605,-0.2019332,-0.08769801,0.4404706,0.1152445,0.1750647,-0.2919912,-0.0002726105,-0.003566408,-0.01916741,0.0.0.0,10.62.21.216,5,automotive,0,2014-11-07 18:35:17.847,0,2014-11-07 18:29:52.817,0
2014-11-07 18:35:18.282,21,10.5,37.78684,-122.4114,27.74643,4.63,256.9922,3,5,1415414117,0.02552795,-0.4701843,-0.8304443,-39.077,39.26066,-18.03333,54.82947,41.02099,20,-0.3461556,-0.1356843,0.3299619,-0.2551859,-0.04498475,0.4651228,-0.1375946,-0.1797173,0.1099501,0.05950993,-0.04658467,0.007226962,0.0.0.0,10.62.21.216,5,automotive,0,2014-11-07 18:35:17.847,0,2014-11-07 18:29:52.817,0
2014-11-07 18:35:18.792,22,11,37.78683,-122.4115,27.67209,5.15,259.4531,3,5,1415414118,0.04373169,-0.4780731,-0.8196716,-42.15687,33.82283,-22.39578,60.10947,46.30099,20,-0.02230451,0.3390545,-0.1238631,-0.3666171,0.05076354,0.5138327,0.07337004,0.2596675,-0.05476473,0.01200881,-0.06126149,-0.006063518,0.0.0.0,10.62.21.216,1,automotive,0,2014-11-07 18:35:17.847,0,2014-11-07 18:29:52.817,0
2014-11-07 18:35:19.287,23,11.5,37.78683,-122.4115,27.67209,5.15,259.4531,3,5,1415414118,0.1227722,-0.5476227,-0.9138489,-41.23291,33.31304,-25.27094,60.18332,46.37484,20,0.07147712,0.2095817,-0.3146104,-0.4191125,0.1402813,0.4936882,0.2066092,0.2075422,-0.4135024,0.01260121,-0.06492618,-0.0844496,0.0.0.0,10.62.21.216,5,automotive,0,2014-11-07 18:35:17.847,0,2014-11-07 18:29:52.817,0
