time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,Activity,Activity Confidence,Activity Start,Steps,Last Step Date,State
2014-11-07 19:04:15.279,1,0.5,37.57072,-122.3138,5.062919,-1,-1,32.73775,165,1415415853,0.1764832,-0.7333221,-0.7207947,-58.15305,-2.942955,-11.10809,100.9889,87.18039,20,0.06641604,-0.3059285,-0.2058496,-0.2570285,0.3440075,0.790733,0.006352192,-0.3242025,-0.1842716,-0.02333777,-0.009208517,-0.05307759,0.0.0.0,10.62.21.216,1,unknown,0,2014-11-07 19:04:00.531,0,2014-11-07 19:04:10.693,0
2014-11-07 19:04:15.779,2,1,37.57072,-122.3138,5.062919,-1,-1,32.73775,165,1415415853,-0.007507324,-0.6341553,-0.8926392,-61.19871,-7.531136,8.291565,114.1634,100.3549,20,-0.4304813,-0.4313711,-0.31668,-0.3330667,0.05483687,0.7661757,-0.7586386,-0.5529719,-0.4006739,0.01545303,-0.03714509,-0.02952372,0.0.0.0,10.62.21.216,1,unknown,0,2014-11-07 19:04:00.531,0,2014-11-07 19:04:10.693,0
2014-11-07 19:04:16.279,3,1.5,37.57072,-122.3138,5.062919,-1,-1,32.73775,165,1415415853,0.2623749,-0.6222076,-0.735733,-57.50285,-21.73745,-3.14328,122.0238,108.2154,20,0.1135902,0.1292661,-0.1355197,-0.5865785,0.3909271,0.7245887,-0.0225637,0.0949042,-0.2224398,0.00852209,0.006821672,-0.08037741,0.0.0.0,10.62.21.216,1,unknown,0,2014-11-07 19:04:00.531,0,2014-11-07 19:04:10.693,0
2014-11-07 19:04:16.779,4,2,37.57072,-122.3138,5.062919,-1,-1,32.73775,165,1415415853,0.2664642,-0.7281647,-0.7913208,-57.12643,-21.43158,-1.722168,122.8266,109.0181,20,0.01628736,-0.01554833,0.1673384,-0.5694389,0.3384685,0.7287071,-0.270028,-0.1223192,0.1180259,0.01732925,-0.06463939,-0.04206423,0.0.0.0,10.62.21.216,1,unknown,0,2014-11-07 19:04:00.531,0,2014-11-07 19:04:10.693,0
2014-11-07 19:04:17.282,5,2.5,37.56928,-122.3121,3.589417,24.8,139.9219,64,30,1415415857,0.2374725,-0.6687775,-0.7666168,-57.63974,-20.58195,0.09558105,122.9236,109.1151,20,0.02576928,0.08747925,-0.1494558,-0.5559275,0.3144927,0.7316589,-0.05263475,-0.01682465,-0.1900173,-0.003496021,-0.04275634,-0.05234503,0.0.0.0,10.62.21.216,1,unknown,0,2014-11-07 19:04:00.531,0,2014-11-07 19:04:10.693,0
2014-11-07 19:04:17.853,6,3,37.56904,-122.3121,4.877014,23.06,139.2188,3,10,1415415857,0.2323303,-0.6991577,-0.740036,-57.63973,-20.78581,-0.8297119,122.8569,109.0484,20,0.1714218,0.00181814,0.09364873,-0.563277,0.3225926,0.7310994,0.08462632,0.04536336,0.02360907,0.002945167,-0.04063975,-0.04418883,0.0.0.0,10.62.21.216,1,unknown,0,2014-11-07 19:04:00.531,0,2014-11-07 19:04:10.693,0
2014-11-07 19:04:18.353,7,3.5,37.56904,-122.3121,4.877014,23.06,139.2188,3,10,1415415857,0.287796,-0.6666718,-0.7566071,-57.36597,-22.34918,-1.490723,123.8304,110.0219,20,0.1501581,0.00335798,0.1318299,-0.5797257,0.3367289,0.7199392,0.08358107,0.07069117,0.0293156,0.02289032,0.006247575,-0.01397981,0.0.0.0,10.62.21.216,1,unknown,0,2014-11-07 19:04:18.184,0,2014-11-07 19:04:10.693,0
2014-11-07 19:04:18.853,8,4,37.56888,-122.312,4.698578,23.49,139.5703,3,5,1415415858,0.2540741,-0.586853,-0.698288,-57.43442,-22.82501,-1.358643,124.2826,110.4741,20,0.1271441,-0.01800643,0.04543805,-0.5854838,0.3402407,0.7107784,0.0611157,-0.04450896,0.01827927,0.02678706,0.03279496,0.004281027,0.0.0.0,10.62.21.216,1,unknown,0,2014-11-07 19:04:18.184,0,2014-11-07 19:04:10.693,0
2014-11-07 19:04:19.353,9,4.5,37.56888,-122.312,4.698578,23.49,139.5703,3,5,1415415858,0.2266693,-0.6955109,-0.8004456,-56.5789,-22.17927,-1.722168,124.5384,110.7299,20,0.1764403,0.06147721,0.09540535,-0.5804676,0.3339401,0.6992087,0.07775465,-0.03150735,0.1239734,0.002972155,-0.02988017,-0.06624956,0.0.0.0,10.62.21.216,1,unknown,0,2014-11-07 19:04:18.184,0,2014-11-07 19:04:10.693,0
2014-11-07 19:04:19.792,10,5,37.56888,-122.312,4.698578,23.49,139.5703,3,5,1415415858,0.2447815,-0.6166229,-0.6947632,-57.12643,-22.17926,-1.457855,124.0937,110.2852,20,0.1496515,0.07253972,0.0265368,-0.5857096,0.3393023,0.7040892,0.1665175,0.09312406,0.02543365,0.01947986,-0.01188562,-0.09685136,0.0.0.0,10.62.21.216,1,unknown,0,2014-11-07 19:04:18.184,0,2014-11-07 19:04:10.693,0
2014-11-07 19:04:20.353,11,5.5,37.56874,-122.3118,4.581207,23.63,139.2188,3,5,1415415859,0.2353058,-0.6826324,-0.6719818,-56.98954,-22.92695,-1.722168,125.3051,111.4967,20,0.02025973,0.0128676,0.130647,-0.5836361,0.340898,0.699962,0.2102236,-0.003550255,0.1633023,0.009751821,-0.003379176,-0.05575901,0.0.0.0,10.62.21.216,1,unknown,0,2014-11-07 19:04:18.184,0,2014-11-07 19:04:10.693,0
2014-11-07 19:04:20.854,12,6,37.56855,-122.3116,4.28363,23.69,139.2188,3,5,1415415860,0.3534088,-0.6915741,-0.8405151,-56.37357,-22.65504,-1.986572,124.3138,110.5053,20,0.1495221,0.1634859,0.06797159,-0.5874728,0.3414927,0.6947359,0.06094051,0.07585648,-0.06562255,0.05962135,-0.05125418,-0.1230767,0.0.0.0,10.62.21.216,1,automotive,2,2014-11-07 19:04:20.706,0,2014-11-07 19:04:10.693,0
2014-11-07 19:04:21.353,13,6.5,37.56855,-122.3116,4.28363,23.69,139.2188,3,5,1415415860,0.2777405,-0.5848389,-0.7154236,-55.99714,-22.96092,-2.151855,124.781,110.9725,20,0.3708803,0.01247158,0.2588039,-0.5941819,0.3540387,0.6965405,0.3132368,0.1449842,0.2065575,0.0856902,-0.02145707,-0.1154222,0.0.0.0,10.62.21.216,1,automotive,2,2014-11-07 19:04:20.706,0,2014-11-07 19:04:10.693,0
2014-11-07 19:04:21.853,14,7,37.56841,-122.3114,2.912903,23.82,139.4608,4,10,1415415861,0.252655,-0.669342,-0.6912537,-56.85266,-22.38316,-1.391693,124.2454,110.4369,20,-0.007572965,0.06984886,0.04001613,-0.5873798,0.3384688,0.7170201,-0.03591174,0.03319306,0.03844808,-0.00162609,0.01079438,0.04666454,0.0.0.0,10.62.21.216,1,automotive,2,2014-11-07 19:04:20.706,0,2014-11-07 19:04:10.693,0
2014-11-07 19:04:22.353,15,7.5,37.56841,-122.3114,2.912903,23.82,139.4608,4,10,1415415861,0.2268219,-0.7167358,-0.75177,-57.5713,-21.66947,-0.4993286,123.7432,109.9348,20,-0.05428534,0.1159735,-0.0002277003,-0.569313,0.3065,0.7172273,-0.1111513,0.03590876,0.01542149,0.02197081,-0.03001926,-0.01275377,0.0.0.0,10.62.21.216,1,automotive,2,2014-11-07 19:04:20.706,0,2014-11-07 19:04:10.693,0
2014-11-07 19:04:22.853,16,8,37.56835,-122.3114,3.086609,23.73,139.4608,3,5,1415415862,0.1770782,-0.5796509,-0.5696564,-57.60551,-22.45116,0.0625,124.4131,110.6047,20,0.1872181,-0.1300006,0.1121979,-0.5707429,0.3062457,0.7279482,0.1664317,-0.1494308,0.1111531,0.008269352,0.02738458,0.02734265,0.0.0.0,10.62.21.216,1,automotive,2,2014-11-07 19:04:20.706,0,2014-11-07 19:04:10.693,0
2014-11-07 19:04:23.353,17,8.5,37.56815,-122.3112,2.55899,23.98,139.5199,3,10,1415415863,0.2531433,-0.6589508,-0.7857819,-57.43441,-22.07732,-0.4993896,123.9419,110.1334,20,0.350293,0.1732019,0.01639229,-0.571881,0.3083988,0.7178398,0.06145379,0.01695896,-0.066806,0.05797592,-0.08978423,-0.09641051,0.0.0.0,10.62.21.216,1,automotive,2,2014-11-07 19:04:20.706,0,2014-11-07 19:04:10.693,0
2014-11-07 19:04:23.853,18,9,37.56815,-122.3112,2.55899,23.98,139.5199,3,10,1415415863,0.2950745,-0.6619263,-0.713913,-56.9211,-22.99496,-0.2019043,125.0934,111.2849,20,-0.1054202,0.03319337,0.04828764,-0.5833959,0.3257384,0.7110978,-0.2359516,0.0403387,0.02722385,0.05028678,0.05171375,0.1109933,0.0.0.0,10.62.21.216,1,automotive,2,2014-11-07 19:04:20.706,0,2014-11-07 19:04:10.693,0
2014-11-07 19:04:24.353,19,9.5,37.56797,-122.311,2.459442,24.11,139.5199,3,10,1415415864,0.2286377,-0.6547394,-0.7179108,-57.7424,-22.17928,-0.4661865,124.1314,110.3229,20,-0.0899733,0.133483,-0.02840581,-0.5718876,0.3125934,0.714658,-0.1291574,0.07925478,-0.02026266,-0.001812058,0.03753074,-0.006719171,0.0.0.0,10.62.21.216,1,automotive,2,2014-11-07 19:04:20.706,0,2014-11-07 19:04:10.693,0
2014-11-07 19:04:24.853,20,10,37.56797,-122.311,2.459442,24.11,139.5199,3,10,1415415864,0.1971283,-0.6696625,-0.7952423,-57.36597,-20.92179,-1.490814,122.752,108.9435,20,0.04838271,0.1340212,0.008578308,-0.5397317,0.29183,0.6954504,-0.119812,-0.0262651,0.04667175,-0.03848657,0.01277108,-0.01332339,0.0.0.0,10.62.21.216,1,automotive,2,2014-11-07 19:04:20.706,0,2014-11-07 19:04:10.693,0
