time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,Activity,Activity Confidence,Activity Start,Steps,Last Step Date,State
2014-11-08 18:54:21.593,1,0.5,37.44664,-122.1716,14.86691,0,132.833,3,5,1415501661,0.1528931,-0.08059692,-1.012253,50.49858,125.6278,-25.48129,354.6046,340.91,20,0.06544505,0.04200045,0.0311715,-2.619085,0.1903546,0.1138802,-0.001769396,-0.007061048,9.177604e-05,-0.04099364,0.02723897,-0.0401397,0.0.0.0,10.147.103.29,5,automotive,2,2014-11-08 18:54:12.214,0,2014-11-08 18:09:32.682,0
2014-11-08 18:54:22.093,2,1,37.44664,-122.1716,14.86691,0,132.833,3,5,1415501661,0.2012939,-0.1238861,-1.004471,49.81416,126.4435,-25.94409,354.5172,340.8225,20,0.05928569,0.04575337,0.02750859,-2.617019,0.1761842,0.104428,-0.005548211,0.0004055864,0.001351591,0.02999586,-0.01796937,-0.02890029,0.0.0.0,10.147.103.29,5,automotive,2,2014-11-08 18:54:21.985,0,2014-11-08 18:09:32.682,0
2014-11-08 18:54:22.593,3,1.5,37.44664,-122.1716,14.3476,0,132.833,3,5,1415501662,0.2427673,-0.1319122,-0.9884186,50.36169,126.1036,-25.94403,354.4688,340.7742,20,0.05553916,0.04206756,0.03240082,-2.618847,0.2015918,0.1200918,0.0007557353,0.001773919,0.00145445,0.0201308,-0.002266921,0.01857576,0.0.0.0,10.147.103.29,5,automotive,2,2014-11-08 18:54:21.985,0,2014-11-08 18:09:32.682,0
2014-11-08 18:54:23.093,4,2,37.44664,-122.1716,14.3476,0,132.833,3,5,1415501662,0.1989746,-0.1184692,-0.9925385,50.39591,125.6618,-25.91092,354.4655,340.7709,20,0.05926705,0.03705469,0.0286636,-2.620128,0.2163695,0.1286848,0.002111834,0.003088414,-0.002116979,0.0003772957,0.009036732,0.02225753,0.0.0.0,10.147.103.29,5,automotive,1,2014-11-08 18:54:23.246,0,2014-11-08 18:09:32.682,0
2014-11-08 18:54:23.593,5,2.5,37.44663,-122.1716,14.07593,0.25,132.833,3,5,1415501663,0.1819916,-0.1073303,-0.9620209,50.08792,127.0552,-26.73721,354.4306,340.736,20,0.05682174,0.04825035,0.02629845,-2.618529,0.2056339,0.1223351,-0.004150781,0.001865492,0.001511302,-0.008035906,0.007055218,-0.004626481,0.0.0.0,10.147.103.29,5,automotive,1,2014-11-08 18:54:23.561,0,2014-11-08 18:09:32.682,0
2014-11-08 18:54:24.089,6,3,37.44663,-122.1716,14.07593,0.25,132.833,3,5,1415501663,0.1875,-0.1112518,-0.9701385,50.60125,125.5938,-26.10925,354.4437,340.7491,20,0.05676901,0.04206516,0.03363253,-2.618001,0.2003457,0.1190508,-0.005439106,-0.001871214,0.0001356198,0.01117128,-0.0008285849,-0.01483854,0.0.0.0,10.147.103.29,5,automotive,1,2014-11-08 18:54:24.192,0,2014-11-08 18:09:32.682,0
2014-11-08 18:54:24.593,7,3.5,37.44663,-122.1716,14.95297,0,132.833,3,5,1415501664,0.2009583,-0.1230164,-0.9787445,49.81416,125.7637,-26.47278,354.3983,340.7037,20,0.05432849,0.03956712,0.02745293,-2.617424,0.1970713,0.1169461,-0.002917838,0.0005703455,0.001479207,-0.009112282,0.001765788,-0.02233084,0.0.0.0,10.147.103.29,5,automotive,1,2014-11-08 18:54:24.192,0,2014-11-08 18:09:32.682,0
2014-11-08 18:54:25.091,8,4,37.44663,-122.1716,14.95297,0,132.833,3,5,1415501664,0.2026367,-0.1193085,-0.9758453,50.60126,126.0016,-26.3736,354.4158,340.7212,20,0.06298696,0.04324867,0.028719,-2.617216,0.1962421,0.1167255,-0.000378911,0.004255716,0.0003491951,-0.006615859,0.002034931,0.004542931,0.0.0.0,10.147.103.29,5,automotive,1,2014-11-08 18:54:24.192,0,2014-11-08 18:09:32.682,0
2014-11-08 18:54:25.519,9,4.5,37.44663,-122.1716,14.68506,0,132.833,3,5,1415501665,0.1848907,-0.1122284,-0.9814911,50.53281,125.4579,-25.91089,354.4056,340.711,20,0.06545251,0.04199512,0.02994006,-2.617253,0.1957131,0.1165901,0.0008944991,-0.000745576,-0.0008892796,-0.001007144,-0.003592648,-0.01158992,0.0.0.0,10.147.103.29,5,automotive,1,2014-11-08 18:54:24.192,0,2014-11-08 18:09:32.682,0
2014-11-08 18:54:26.088,10,5,37.44663,-122.1716,14.68506,0,132.833,3,5,1415501665,0.1910858,-0.1109619,-0.9949341,49.77995,126.6134,-25.97699,354.3777,340.6831,20,0.06545251,0.04199512,0.02994006,-2.616866,0.1955782,0.1163004,0.003448861,0.006672253,-0.003243037,-0.007809831,-0.003788909,0.0005388378,0.0.0.0,10.147.103.29,5,automotive,1,2014-11-08 18:54:24.192,0,2014-11-08 18:09:32.682,0
2014-11-08 18:54:26.591,11,5.5,37.44663,-122.1716,14.48199,0,132.833,3,5,1415501666,0.186676,-0.1121216,-0.9717865,49.98527,125.7977,-26.37354,354.3667,340.6721,20,0.06546636,0.04696351,0.02875229,-2.616634,0.1959321,0.1163962,-0.01016292,-0.004428574,0.001612844,0.007106396,-0.006898078,-0.005933864,0.0.0.0,10.147.103.29,5,automotive,1,2014-11-08 18:54:24.192,0,2014-11-08 18:09:32.682,0
2014-11-08 18:54:27.091,12,6,37.44663,-122.1716,14.48199,0,132.833,3,5,1415501666,0.1992493,-0.1200562,-0.9858246,50.63545,125.4919,-25.94394,354.3446,340.65,20,0.06669301,0.04447426,0.02996216,-2.616563,0.1958465,0.1164473,-0.005155118,-0.004495027,-0.002059146,0.009922263,-0.001171026,-0.001620163,0.0.0.0,10.147.103.29,5,automotive,1,2014-11-08 18:54:24.192,0,2014-11-08 18:09:32.682,0
2014-11-08 18:54:27.593,13,6.5,37.44663,-122.1716,14.16199,0,132.833,3,5,1415501667,0.2023926,-0.1221008,-0.9733582,50.3959,125.7977,-25.97693,354.3435,340.6489,20,0.06545677,0.03950293,0.02868677,-2.616635,0.1960603,0.1167721,0.00228921,-0.0008194365,0.0004485933,-0.004759231,0.00194392,-0.02892025,0.0.0.0,10.147.103.29,5,automotive,2,2014-11-08 18:54:27.344,0,2014-11-08 18:09:32.682,0
2014-11-08 18:54:28.088,14,7,37.44663,-122.1716,14.16199,0,132.833,3,5,1415501667,0.2031097,-0.1258392,-0.9788208,50.12212,126.0016,-26.50571,354.3372,340.6426,20,0.06299122,0.04075649,0.02746571,-2.616543,0.1958571,0.1168257,0.001071872,-0.003316495,0.0004334041,0.001222951,0.00123418,-0.02464515,0.0.0.0,10.147.103.29,5,automotive,2,2014-11-08 18:54:27.344,0,2014-11-08 18:09:32.682,0
