time,timestamp,recordtime,lat,long,alt,speed,course
0,0,0,37.44663,-122.1716,0,0.25,132.833
0,0,0,37.44662,-122.1716,0,0.31,132.833
0,0,0,37.44661,-122.1716,0,1.07,132.833
0,0,0,37.44659,-122.1716,0,2.23,132.833
0,0,0,37.44658,-122.1716,0,4.59,132.833
0,0,0,37.44653,-122.1715,0,5.57,134.1118
0,0,0,37.44648,-122.1714,0,7.1,134.1118
0,0,0,37.44642,-122.1714,0,8.99,134.0847
0,0,0,37.44636,-122.1713,0,9.53,134.0847
0,0,0,37.4463,-122.1712,0,10.25,134.0847
0,0,0,37.44624,-122.1711,0,12.16,135.0003
0,0,0,37.44614,-122.171,0,13.05,133.3982
0,0,0,37.44606,-122.1709,0,13.75,133.3982
0,0,0,37.44597,-122.1708,0,14.11,133.3982
0,0,0,37.44588,-122.1706,0,14.58,133.3982
0,0,0,37.44579,-122.1705,0,15.23,133.4743
0,0,0,37.44569,-122.1704,0,15.61,133.4743
0,0,0,37.44559,-122.1703,0,16.11,134.0337
0,0,0,37.44549,-122.1701,0,16.21,134.0337
0,0,0,37.44539,-122.17,0,16.52,134.0337
0,0,0,37.44528,-122.1699,0,16.68,134.0337
0,0,0,37.44518,-122.1697,0,16.72,134.1616
0,0,0,37.44508,-122.1696,0,16.46,134.1616
0,0,0,37.44498,-122.1695,0,16.12,134.1616
0,0,0,37.44488,-122.1693,0,15.84,133.6196
0,0,0,37.44478,-122.1692,0,15.34,133.6196
0,0,0,37.44469,-122.1691,0,13.96,133.6196
0,0,0,37.44461,-122.169,0,12.44,133.6196
0,0,0,37.44453,-122.1689,0,10.91,133.6196
0,0,0,37.44448,-122.1688,0,10.26,133.6196
0,0,0,37.44441,-122.1687,0,9.52,133.7724
0,0,0,37.44436,-122.1686,0,9.01,133.7724
0,0,0,37.44429,-122.1685,0,8.96,133.7724
0,0,0,37.44424,-122.1685,0,9.18,133.7724
0,0,0,37.44418,-122.1684,0,8.68,133.7724
0,0,0,37.44413,-122.1683,0,8.34,133.7724
0,0,0,37.44408,-122.1683,0,8.1,133.7724
0,0,0,37.44403,-122.1682,0,8.05,133.7724
0,0,0,37.44398,-122.1681,0,7.72,133.7724
0,0,0,37.44394,-122.1681,0,7.29,133.7724
0,0,0,37.4439,-122.168,0,6.01,133.7724
0,0,0,37.44386,-122.168,0,5.0,134.3096
0,0,0,37.44384,-122.1679,0,3.88,134.3096
0,0,0,37.44382,-122.1679,0,2.31,133.7681
0,0,0,37.44381,-122.1679,0,0.74,133.7681
0,0,0,37.44379,-122.1679,0,0.31,133.7681
0,0,0,37.44378,-122.1679,0,2.18,133.7681
0,0,0,37.44376,-122.1678,0,2.93,133.7681
0,0,0,37.44374,-122.1678,0,4.23,133.727
0,0,0,37.4437,-122.1678,0,5.58,133.727
0,0,0,37.44366,-122.1677,0,6.94,133.727
0,0,0,37.44362,-122.1677,0,7.94,133.727
0,0,0,37.4436,-122.1676,0,8.0,133.727
0,0,0,37.44353,-122.1675,0,8.96,134.9999
0,0,0,37.44345,-122.1674,0,9.87,134.3465
0,0,0,37.44339,-122.1674,0,10.72,134.3465
0,0,0,37.44332,-122.1673,0,11.84,134.3465
0,0,0,37.44325,-122.1672,0,13.16,134.3465
0,0,0,37.44313,-122.1671,0,14.39,143.8298
0,0,0,37.44302,-122.167,0,16.2,143.8298
0,0,0,37.44292,-122.1668,0,17.2,143.8298
0,0,0,37.4428,-122.1667,0,18.14,139.2188
0,0,0,37.44267,-122.1666,0,18.63,139.9219
0,0,0,37.44255,-122.1664,0,18.0,140.9766
0,0,0,37.44243,-122.1663,0,16.35,141.6797
0,0,0,37.44233,-122.1662,0,14.16,141.796
0,0,0,37.44223,-122.1661,0,12.32,141.796
0,0,0,37.44215,-122.166,0,10.36,141.6325
0,0,0,37.44209,-122.166,0,8.07,141.6325
0,0,0,37.44205,-122.1659,0,5.82,141.6325
0,0,0,37.44201,-122.1659,0,4.95,141.6325
0,0,0,37.44198,-122.1659,0,4.05,141.6325
0,0,0,37.44196,-122.1658,0,2.89,141.6325
0,0,0,37.44194,-122.1658,0,2.26,141.6325
0,0,0,37.44193,-122.1658,0,0.15,141.6325
0,0,0,37.44192,-122.1658,0,0.17,141.6325
0,0,0,37.44193,-122.1658,0,0.0,141.6325
0,0,0,37.44192,-122.1658,0,0.16,141.6325
0,0,0,37.44193,-122.1658,0,0.16,141.6325
0,0,0,37.44192,-122.1658,0,0.0,141.6325
0,0,0,37.44193,-122.1658,0,0.52,141.6325
0,0,0,37.44186,-122.1657,0,2.97,138.2155
0,0,0,37.44183,-122.1657,0,4.34,138.2155
0,0,0,37.44179,-122.1657,0,5.4,138.2155
0,0,0,37.44176,-122.1656,0,5.39,134.3772
0,0,0,37.44173,-122.1656,0,5.28,134.3772
0,0,0,37.44171,-122.1655,0,5.25,134.3772
0,0,0,37.44162,-122.1654,0,5.73,67.14844
0,0,0,37.44178,-122.1653,0,6.95,24.4251
0,0,0,37.44183,-122.1653,0,8.07,24.47909
0,0,0,37.44191,-122.1653,0,9.97,24.47909
